timestamp,alpha,beta,theta,diff
2024-11-08|16:23:55.665,0.0838,0.1056,0.1376,100.0000
2024-11-08|16:23:55.869,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:23:56.072,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:23:56.275,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:23:56.476,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:23:56.679,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:23:56.883,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:23:57.083,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:23:57.288,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:23:57.492,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:23:57.695,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:23:57.895,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:23:58.098,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:23:58.301,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:23:58.503,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:23:58.707,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:23:58.908,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:23:59.110,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:23:59.313,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:23:59.515,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:23:59.718,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:23:59.922,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:00.124,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:00.325,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:00.528,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:00.730,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:00.933,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:01.136,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:01.341,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:01.543,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:01.746,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:01.948,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:02.149,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:02.350,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:02.552,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:02.756,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:02.961,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:03.165,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:03.367,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:03.568,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:03.772,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:03.976,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:04.178,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:04.381,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:04.583,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:04.784,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:04.987,0.0617,0.1110,0.0709,100.0000
2024-11-08|16:24:05.190,0.0617,0.1110,0.0709,100.0000
